ID,prediction
9efbc17a01_0_ich,0
9efbc17a01_0_ivh,0
9efbc17a01_0_sah,0
9efbc17a01_0_sdh,0
9efbc17a01_0_edh,0
9efbc17a01_1_ich,0
9efbc17a01_1_ivh,0
9efbc17a01_1_sah,0
9efbc17a01_1_sdh,0
9efbc17a01_1_edh,0
9efbc17a01_2_ich,0
9efbc17a01_2_ivh,0
9efbc17a01_2_sah,0
9efbc17a01_2_sdh,0
9efbc17a01_2_edh,0
9efbc17a01_3_ich,0
9efbc17a01_3_ivh,0
9efbc17a01_3_sah,0
9efbc17a01_3_sdh,0
9efbc17a01_3_edh,0
9efbc17a01_4_ich,0
9efbc17a01_4_ivh,0
9efbc17a01_4_sah,0
9efbc17a01_4_sdh,0
9efbc17a01_4_edh,0
9efbc17a01_5_ich,0
9efbc17a01_5_ivh,0
9efbc17a01_5_sah,0
9efbc17a01_5_sdh,0
9efbc17a01_5_edh,0
9efbc17a01_6_ich,0
9efbc17a01_6_ivh,0
9efbc17a01_6_sah,0
9efbc17a01_6_sdh,0
9efbc17a01_6_edh,0
9efbc17a01_7_ich,0
9efbc17a01_7_ivh,0
9efbc17a01_7_sah,0
9efbc17a01_7_sdh,0
9efbc17a01_7_edh,0
9efbc17a01_8_ich,0
9efbc17a01_8_ivh,0
9efbc17a01_8_sah,0
9efbc17a01_8_sdh,0
9efbc17a01_8_edh,0
9efbc17a01_9_ich,0
9efbc17a01_9_ivh,0
9efbc17a01_9_sah,0
9efbc17a01_9_sdh,1
9efbc17a01_9_edh,0
9efbc17a01_10_ich,0
9efbc17a01_10_ivh,0
9efbc17a01_10_sah,0
9efbc17a01_10_sdh,1
9efbc17a01_10_edh,0
9efbc17a01_11_ich,0
9efbc17a01_11_ivh,0
9efbc17a01_11_sah,0
9efbc17a01_11_sdh,1
9efbc17a01_11_edh,0
9efbc17a01_12_ich,0
9efbc17a01_12_ivh,0
9efbc17a01_12_sah,0
9efbc17a01_12_sdh,1
9efbc17a01_12_edh,0
9efbc17a01_13_ich,0
9efbc17a01_13_ivh,0
9efbc17a01_13_sah,0
9efbc17a01_13_sdh,1
9efbc17a01_13_edh,0
9efbc17a01_14_ich,0
9efbc17a01_14_ivh,0
9efbc17a01_14_sah,0
9efbc17a01_14_sdh,1
9efbc17a01_14_edh,0
9efbc17a01_15_ich,0
9efbc17a01_15_ivh,0
9efbc17a01_15_sah,0
9efbc17a01_15_sdh,1
9efbc17a01_15_edh,0
9efbc17a01_16_ich,0
9efbc17a01_16_ivh,0
9efbc17a01_16_sah,0
9efbc17a01_16_sdh,1
9efbc17a01_16_edh,0
9efbc17a01_17_ich,0
9efbc17a01_17_ivh,0
9efbc17a01_17_sah,0
9efbc17a01_17_sdh,1
9efbc17a01_17_edh,0
9efbc17a01_18_ich,0
9efbc17a01_18_ivh,0
9efbc17a01_18_sah,0
9efbc17a01_18_sdh,1
9efbc17a01_18_edh,0
9efbc17a01_19_ich,0
9efbc17a01_19_ivh,0
9efbc17a01_19_sah,0
9efbc17a01_19_sdh,1
9efbc17a01_19_edh,0
9efbc17a01_20_ich,0
9efbc17a01_20_ivh,0
9efbc17a01_20_sah,0
9efbc17a01_20_sdh,1
9efbc17a01_20_edh,0
9efbc17a01_21_ich,0
9efbc17a01_21_ivh,0
9efbc17a01_21_sah,0
9efbc17a01_21_sdh,1
9efbc17a01_21_edh,0
9efbc17a01_22_ich,0
9efbc17a01_22_ivh,0
9efbc17a01_22_sah,1
9efbc17a01_22_sdh,1
9efbc17a01_22_edh,0
9efbc17a01_23_ich,0
9efbc17a01_23_ivh,0
9efbc17a01_23_sah,0
9efbc17a01_23_sdh,1
9efbc17a01_23_edh,0
9efbc17a01_24_ich,0
9efbc17a01_24_ivh,0
9efbc17a01_24_sah,0
9efbc17a01_24_sdh,1
9efbc17a01_24_edh,0
9efbc17a01_25_ich,0
9efbc17a01_25_ivh,0
9efbc17a01_25_sah,0
9efbc17a01_25_sdh,1
9efbc17a01_25_edh,0
9efbc17a01_26_ich,0
9efbc17a01_26_ivh,0
9efbc17a01_26_sah,0
9efbc17a01_26_sdh,1
9efbc17a01_26_edh,0
9efbc17a01_27_ich,0
9efbc17a01_27_ivh,0
9efbc17a01_27_sah,0
9efbc17a01_27_sdh,0
9efbc17a01_27_edh,0
9efbc17a01_28_ich,0
9efbc17a01_28_ivh,0
9efbc17a01_28_sah,0
9efbc17a01_28_sdh,0
9efbc17a01_28_edh,0
9efbc17a01_29_ich,0
9efbc17a01_29_ivh,0
9efbc17a01_29_sah,0
9efbc17a01_29_sdh,0
9efbc17a01_29_edh,0
9efbc17a01_30_ich,0
9efbc17a01_30_ivh,0
9efbc17a01_30_sah,0
9efbc17a01_30_sdh,0
9efbc17a01_30_edh,0
9efbc17a01_31_ich,0
9efbc17a01_31_ivh,0
9efbc17a01_31_sah,0
9efbc17a01_31_sdh,0
9efbc17a01_31_edh,0
9efbc17a01_32_ich,0
9efbc17a01_32_ivh,0
9efbc17a01_32_sah,0
9efbc17a01_32_sdh,0
9efbc17a01_32_edh,0
f1e26319b_0_ich,0
f1e26319b_0_ivh,0
f1e26319b_0_sah,0
f1e26319b_0_sdh,0
f1e26319b_0_edh,0
f1e26319b_1_ich,0
